Text,Emotion,Label
im sure its because when i am lost i feel like everyone is being hostile toward me and i hate that feeling,anger,1
im sure ive got it right and my state of unencumberedness despite many years of feeling like i couldnt keep up anybody else is causing me to see my life as charmed,happy,5
i feel so neurotic sometimes because usually even if i know we dont have something etc,fear,4
i got the feeling brig is sincere and has a very strong desire to help others become successful both financially and also through building strengthening relationships through christianity,happy,5
i feel that way about popular culture,happy,5
i feel like it is conor at his most sincere,happy,5
i complete the act i feel temporarily satisfied but the feeling quickly goes away and i feel ashamed or guilty,happy,5
im feeling quite positive at the moment,happy,5
i feeling suspicious i snooped computer,fear,4
i feel that this is going to get very messy to get fixed and back on the road again,sadness,0
i have essentially at least in my mind solved these design problems i just don t fucking feel like working them out in all their iterations i just feel like i can t be bothered leave that shit to the junior designers,anger,1
i feel like any student response can tip the delicate balance of my psyche,love,2
i feel so much more myself and i missed me,sadness,0
i feel like getting away from all the friendly tasty goodness that seems to abound in santa cruz including the unseen ambient pot smoke that always makes me so lazy i swear when i visit the laid back town a visit to the university s university of california santa cruz renowned a href http www,happy,5
i feel a little jaded after the banking crisis but i will vote labour and hope for the best,sadness,0
i was on the phone with tech support today and it turns out i have something in common with the guy on the phone we both have thoughts and feelings are are curious about this world,surprise,3
i left feeling pretty chuffed with my finds,happy,5
im feeling strong healthy motivated and just overall positive about everything,happy,5
i struggled to come up with an interesting title for this blogpost but its about lipbalms and i feel most people would consider this to be a boring subje,sadness,0
i lie to myself to feel like i am trusting but the only person i really trust or trusted i guess is the me that is not trustworthy,happy,5
i have of myself right now is that i feel pretty much like myself,happy,5
i joke about her leaving me or tell her that i know shes going to fall in love with the city the country the people and never come back theres a place deep in my mind parallel to the empty sick feeling in my stomach that is terrified she really wont come back,fear,4
i feel like i want to punch him in his handsome face,happy,5
i am feeling very shaky today,fear,4
i might be feeling a bit cranky,anger,1
i feel creative right now and it makes me happy,happy,5
im typing all of these im blowing my nose and feeling extremely cranky,anger,1
ive lived my life trying so hard to be accepted and to feel loved,love,2
i was feeling pretty well in mid october,happy,5
i feel so unimportant to you now its not even fucking funny,sadness,0
i feel that the leader i admired is being selfish,love,2
i went on a bit of an auster binge after that and i remember feeling particularly fond of mr vertigo which is about a boy who learns to fly,love,2
im taking this to heart and feel that the gentle age of is the perfect time and place to engage in some fearlessness and wholesale change,love,2
i feel like life was so flawless for so very long and now i am stressed out and wanting to cry half the time,happy,5
i feel time is running out so i m not bothered with myself now,anger,1
i feel so proud and blessed to be carrying this baby,happy,5
i tell the people closest to me things that i am feeling and its as if they arent surprised because theyd known it all along,surprise,3
i feel the need to turn to my beloved nations,happy,5
i attempt to convince others of what they should think and how they truly feel i become a title resentful href http en,anger,1
i cant be bothered as coming and doing is a pleasant pass time followed by cascades of positive feelings unless you are sexualy troubled,sadness,0
i just have to close my eyes and feel that sweet gentle ache and i know,happy,5
i feel like we had a wonderful summer and know now that school has started the year will fly by,happy,5
im sleeping better i still just generally feel exhausted i so hope this feeling passes soon,sadness,0
i m not feeling creative this week since i really love the stories and photos from this week,happy,5
i don t like feeling assaulted by a song no matter how much inspiration and integrity is backing up the blows,sadness,0
i will continue to struggle with experiencing normal feelings and the sense theyre chipping away at precious time,happy,5
i read i feel like ive just enjoyed a rich journey through the history of settling the american west as well as through the values faith fortitude hard work and joy so readily cherished then and hopefully now,happy,5
i feel peaceful and unafraid certain that my god has my best interests at heart,happy,5
i feel humiliated by my ignorance and lack of ability to accommodate the other,sadness,0
i began training in january or at least mentally preparing myself to train and can remember specifically feeling apprehensive about the running a spring marathon,fear,4
i was hurt by this comment because it made me feel unimportant and like he wants to date many women,sadness,0
i guess she was feeling pretty hesitant,fear,4
i feel in they talk the brother in law is extremely popular the one that had no me to think is so stiff,happy,5
i attended a free individual academic consultation which has helped me manage my time efficiently so i can fit my classwork activities and social life all in one day without feeling completely stressed out,sadness,0
i get the feeling that most people in her life think that shes lead some sort of charmed existance,happy,5
i feel so appreciative to have my life to live,happy,5
i didnt feel that there were enough strong smart and funny female main characters in fiction and since thats what i imagine myself to be i started writing,happy,5
i feel like everything i have ever valued is now stripped,happy,5
i was feeling frustrated at work wondering if i am living a life with meaning and purpose,anger,1
i hope you ll consider coming out of your shell and let everyone around you feel your gorgeous personality,happy,5
i love the discussions in the class and feel passionate about feminist issues but when i go to write it down it feels as though i am faking it,love,2
i even get jealous when my bf speaks to his best friend who is a girl and also friend of mine but i listen and understand their friendship because my trust towards my bf is higher than me feeling jealous,anger,1
i look at his sweet little face crying for his mama just wanting me to hold him and love him and i feel so horribly awful for being frustrated with him,sadness,0
i feel like so much of my life has been rushed through like just the means to an end and now it feels like i am enjoying everything i possibly can for what it truly is,anger,1
i really cant count the number of times i cried feeling overwhelmed by someones expression of concern or just by the very fact that they were thinking of me,fear,4
i feel like ive been reading lisas blogs for ever and it was lovely to finally meet her and her boys who i recognised immediately,love,2
i want or need to hear to make me feel valued,happy,5
i feel rather pissed off,anger,1
i am just feeling too rotten to put on a happy face for the night,sadness,0
i feel remorseful about leaving food behind and make an effort to eat at least half of it but after stuffing myself at fruits parlor and eating this hamburger steak and all,sadness,0
i say this because she never truly gets a choice or the freedom to decide what to do with her life which makes it hard not to feel like she got the less dirty end of a really shitty stick,sadness,0
i think feelings are one of nay the most important things we have,happy,5
i am wearing and feeling confident about myself,happy,5
i feel pretty relieved and psyched that they actually got to see something penn said as members of the production team sifted through the mounds of trash pulling out boxes games and other atari products,happy,5
i am not feeling as joyful as some might urge me to,happy,5
i feel so special amp blessed to have my caring amp creative family,happy,5
im kinda exhausted today and you might be feeling exhausted reading this post too,sadness,0
i didnt go into with any cardboard goals i feel i have been very successful with how turned out,happy,5
i had my hand on my beads consciously breathing consciously working to feel calm about my list of things to accomplish that afternoon,happy,5
i feel myself very fake to him,sadness,0
i hate even doing this because i feel like it s rude but i must say i love the blog it came from and this is no insult to the food photography because i enjoy it,anger,1
i carry the usual guilt of feeling selfish and self centered if i spend time or anything on myself,anger,1
i feel but night time is something utterly charming for me,happy,5
i did at one point put my son in daycare but my mom constantly made me feel like a terrible parent because of it,sadness,0
ive noticed this week that im not the only one who struggles with feeling a little depressed after mothers day,sadness,0
i feel so remorseful for that day all those shits i said to you,sadness,0
i feel like i am really valuable to him,happy,5
i feel terrible for pretty much abandoning my online friends and i miss you all,sadness,0
i managed a whole tuesday of eating clean but have caffeined up today and am feeling rather shaky,fear,4
i am not even italian but i feel outraged by the stupidity of ppl on this blog,anger,1
i feel at ease after sweet communing teach me it is far too little i know and do,love,2
i remember what this feels like from a fan perspective because i lived in chicago all through the michael jordan chicago bulls era and i still have fond memories of those days but today belongs to the celtics and i tip my cap to them,love,2
i would probably feel much less exhausted if i had a husband who was able to come home after work and contribute to the parenting and household tasks,sadness,0
i feel bitter and just honkerblonked off in general,anger,1
i feel it rarely advances any worthwhile cause and i always stick to the rule of not posting anything online that i wouldnt be prepared to say to somebodys face,happy,5
i feel your gentle stare and feel your love,love,2
i understand feeling fond of a toilet it s one of my favourite places in the house but seriously is our daughter more enamoured with the porcelain throne than with us,love,2
im feeling that i will never being disturb by the naughty student at the school anymore,love,2
i feel very regretful for what i might done i dont think i remember it,sadness,0
i feel like it here are ten of the many sites that keep me entertained on a daily basis,happy,5
i feel frightened i hear a mighty roar,fear,4
i feel honored or insulted,happy,5
i don t feel like eggs benedict i ll have something equally delicious,happy,5
i was left feeling uncertain about exactly what pulse will offer as a series,fear,4
i feel like i have to be a perfect person because trust me i dont want to be perfect,happy,5
i feel very miserable now,sadness,0
i have switched songs as that one was beginning to make me feel a little melancholy and who the fuck needs that,sadness,0
i too feel hopeful for the coming year,happy,5
i really am feeling horribly irritable and a little bit depressed,anger,1
im feeling really stressed today about the state of the house,sadness,0
i was still feeling optimistic at this point,happy,5
im feeling more lively now,happy,5
i got outside but all the drugs i took didnt exactly make me feel sociable at all,happy,5
i was feeling determined it didnt take long for me to start nomming on naughty stuff again,happy,5
i have found if i can make time for quiet reflection or even just pause in the chaos i can feel god s peace and his gentle comfort,love,2
i have really notcied is my mental clarity like im finally beginning to wake up after years of a foggy brain and feeling lethargic,sadness,0
i feel as if someone has bumbed my delicate set up,love,2
i feel like i deserve to be punished in some way amp search out ways to do that self harm non lethal overdose etc,sadness,0
i feel less intimidated with her here to help,fear,4
im feeling holly jolly how about you,happy,5
i cant help but feel a little humiliated,sadness,0
i feel like i cant be brave,happy,5
i am just so sick of feeling hated and lonely and dumb and unloved and forgotten,anger,1
i feel hopeless and out of control,sadness,0
i feel like a neglectful pet owner,sadness,0
i am feeling terrific at the moment,happy,5
ive been holding onto that are making me feel rotten,sadness,0
i remember the day i was on the phone with my be fri shannon telling her how i cried because i was feeling truly happy again,happy,5
i feel like we are supporting her lifestyle,love,2
i feel so deprived since i know nothing about the first battle of bedriacum,sadness,0
ive been feeling an awful lot lately,sadness,0
i could wear on a casual shopping trip to feel fabulous without even trying,happy,5
i feel that if people read my writing they will know that i m a dumb bunny,sadness,0
i can peruse a few pages before i feel that dull headache building at the base of my skull and by that point i m kicking myself for bringing on a dreaded case of car sickness,sadness,0
im contemplating and feeling skeptical,fear,4
i hate the feeling that i am a pathetic loser that can do nothing right,sadness,0
i feel funny telling you about my name change anyway gracias por todo,surprise,3
i feel absolutely defeated socially,sadness,0
i should feel awful about the nonexistence of gods,sadness,0
i feel bothered,anger,1
i feel so uncertain about the decade ahead,fear,4
i want to push myself to think more in terms of discipline and what is a pro goal and pro me choice and not immediately default to feeling deprived,sadness,0
i feel the need to have a reason or everything i hated that i had to be subjected to thunder and lightening when it was unnecessary,sadness,0
i awoke an hour after feeling groggy,sadness,0
i have to admit i always feel apprehensive to order the wings when im eating out,fear,4
i fought back the blush on his cheeks one hand resting over his heart feeling the frantic beating almost positive kai could hear it,fear,4
i feel very strongly that the only way to eat cornbread is if its sweet cornbread with butter and honey dripping off each piece,love,2
ive been feeling super run down all morning and debated whether or not to leave my usual closed for business type illness post,happy,5
i want to be irreplaceable and until i find the person who makes me feel that way than i think id rather stay single because if im not your number than whats the point i refuse to be just something you settle for maybe im just stubborn but its how i feel so idrc,anger,1
i feel about him too i ve never hated to love someone as much as i do him,sadness,0
i should go to sleep but i m feeling reluctant to let go of the day,fear,4
i feel blessed to be on this journey so quickly and honored to help,love,2
i really enjoy having the weekend off i feel naughty for not doing but i am still getting results and it is a really nice treat,love,2
i feel less and less the feeling of fear and being afraid and scared,fear,4
i started going down the adventure feeling totally ludicrous and wondering if this wasnt all just a waste of my time thats when i saw this screenshot,surprise,3
i feel that this reality is tragic,sadness,0
i feel guilty sitting down during this concert because he s working so hard,sadness,0
i feel and some is just a hateful of hollow yes i hear many smiths these days,anger,1
i feel like i ve fucked up massively for not being able to fight off being suicidal,anger,1
ive posted a blog and i feel like thats unfortunate,sadness,0
i am letting go of the animosity that is towards anyone that i feel has wronged me,anger,1
i feel something inside paul saying fuck it lets do this lets go for it go for broke,sadness,0
i was over tired and feeling irritable as a result,anger,1
i feel awfully blessed,happy,5
i feeling im look a like those innocent lame hunting group old dirty hyena so not have any hope and ways to be free of dead,happy,5
i think it was what was making me feel weepy,sadness,0
i was getting motivated about losing weight and getting healthy and wearing that outfit and feeling fantastic,happy,5
i chefs are all so friendly and make you feel valued,happy,5
im not emo ing no no no haha i am feeling happy instead for being able to meet up with them,happy,5
i came away filled with admiration inspired by amy s friends feeling honoured to have been there to share a tiny part of their lives,happy,5
i can really truly only say that i feel that i am passionate about teaching,happy,5
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,anger,1
i feel empty when the baby isnt there,sadness,0
im not feeling too inspired as it hasnt stopped raining in at least a week here what does the sun look like again,happy,5
i guess a similar viewpoint might be when we feel smug or better than someone else,happy,5
i was able to work in the studio all week though im feeling a bit gloomy about how slowly things seem to be progressing,sadness,0
i for thanksgiving complete with lb suspiciously moist turkey and traditional stuffings and with the final death of thanksgiving i can look around and go ahhh and start enjoying the holidays rather than feeling assaulted by them,sadness,0
i feel truly blessed to have the opportunity to teach your children and watch them grow,happy,5
i don t feel like i lost too much fitness during my three weeks off either,sadness,0
i ignored my feelings i ignored myself,sadness,0
i am just tired of feeling abused by everyone,sadness,0
i made a shocking discovery that made me feel incredibly dumb and to which i of course feel the need to share,sadness,0
im feeling bitter towards them god,anger,1
i feel contented small old rich tired and happy,happy,5
i don t feel gloomy about it despite losing my journalism gig last march,sadness,0
i feel so much pain inside for their aching hearts,sadness,0
i felt overly hopeful last week and now i feel like i am more resigned to waiting the next week or potentially longer,sadness,0
i accepted his apology because i feel like he s remorseful for how he treated me,sadness,0
im feeling so invigorated and ready for whats ahead and very excited to share all that information with all of you,happy,5
i feel like i have doomed myself to failure,sadness,0
i start feeling anxious again,fear,4
i am feeling inspired to write a parody piece but not today as i have been in too much of a bad mood,happy,5
i feel sure that this will be a night to remember,happy,5
i feel lame saying mommy just needs to pay this bill call a guy about the camper and paint bedrooms to be more neutral,sadness,0
i wonder how this feeling of being sentimental can help me through the agony of writing a report which dues tomorrow,sadness,0
i suggested greys and blues with warm tones as the room is north facing and could feel quite cold and flat,anger,1
im feeling less annoyed with him,anger,1
i feel like nothing can stop me and sometimes i feel like so defeated,sadness,0
i feel like im a shitty friend,sadness,0
i feel that i don t have anything to contribute to the conversation about books and that my writing is boring shallow bunk,sadness,0
i am certified via ace and i love what i do but lately i feel like a fake,sadness,0
i don t know it s just that it was like on top of our head so much of yesterday that it was really bothersome and we re still feeling a little mad about it,anger,1
i would feel more environmentally friendly if i sold it,happy,5
i know lloyd very well he lives in my street and once asked me out im just wondering how i would be feeling if i had accepted him,love,2
i feel like i have been emotionally beaten to a pulp,sadness,0
i guess it is the taboo feeling naughty bad and dirty,love,2
i feel like everything is just so fucked,anger,1
i again feel like going out in a friendly and safe environment i am booking a flight to pe,happy,5
im feeling especially lonely,sadness,0
ive had a lot of good days where i feel fabulous and have lots of energy but lately ive also had some bad days where i feel gigantic and slow and clumsy,happy,5
i listen to it a feel peaceful and happy and who couldnt use a big dose of that in their lives,happy,5
i am allowed to feel guilty about neglecting the work that was due and the part of myself that did want to do it,sadness,0
i feel almost virtuous almost as though ive rejected being tethered to material goods but of course i still have two suitcases full of cashmere sweaters and rainboots,happy,5
i feel really low,sadness,0
during the weekend at home,anger,1
i like him for who he is or i just like the feeling to be liked,love,2
i have nothnig to say im just feeling giggly as someoen on lauging gas,happy,5
i feel like life is very delicate,love,2
i appreciate the convenience and peace of mind this program affords young struggling families i feel like its abused on both ends,sadness,0
i don t know how to feel any other way about losing someone who feels like a member of my family than heartbroken,sadness,0
i already feel it is for the bursts and hesitations of last year to mellow into engaged and rhythmic hops forward like his,happy,5
i also feel strange that by the ripe old age of twenty three i want a goddamn life partner,fear,4
i hope that by telling them ill find out more about who i am how i got to this place in time and not feel so lost and alone,sadness,0
i feel very happy and excited since i learned so many things,happy,5
i feel so emotional reaching three finals in four years,sadness,0
i am feeling rather overwhelmed with all that is on my to do list,surprise,3
i guess which meant or so i assume no photos no words or no other way to convey what it really feels unless you feels it yourself or khi bi t au th m i bi t th ng ng i b au i rephrase it to a bit more gloomy context unless you are hurt yourself you will never have sympathy for the hurt ones,sadness,0
i didn t feel like getting shaken down by the tsa quite yet so i pulled off to the side at creative croissants for a lunch,fear,4
i am feeling confident to pursue multiplayer flash games next on my agenda,happy,5
i feel some people shouldn t answer if they are not considerate and serious,happy,5
i ended up asking my seminar professor is it completely normal to have these alternating periods of intense paranoia at my own inadequacies and at times feeling completely self assured and annoyingly pompous and accomplished,happy,5
i also feel stubborn,anger,1
i feel so blessed and honored that we get to be its parents,happy,5
i was not wrong to feel angry but i was wrong for what i said,anger,1
i highly recommend it if you want to feel totally amazing ab,happy,5
i feel this perverse pleasure in knowing how were so much the opposite of everything youre supposed to do,sadness,0
i always feel this way in these moods but it s still unpleasant,sadness,0
i also feel embarrassed because i can consciously look at my life and see all the good things in it that everyone else sees but when the depression cycle hits even knowing those good things exist simply isn t enough,sadness,0
i love it he makes me feel so greedy,anger,1
i was taken by sentimental feelings for the characters and distressed by their destinies,fear,4
i can t believe it i feel so nervous but my father reassures me that there is nothing to be nervous about which only makes me more nervous,fear,4
i was okay but thats an awful feeling to be falling with no way to stop it maybe thats why to this day im so afraid of falling,fear,4
i miss the feeling of someone actually caring about what is going on with me and how i am feeling,love,2
i think i was addicted to feeling miserable and inadequate especially through the times in college when my teachers drove me to my own breaking point,sadness,0
im feeling less fearful today ptl,fear,4
i feel more calm and comfortable by wearing those neutral color,happy,5
i feel like im almost uh afraid of everything so to speak,fear,4
im feeling like life is fairly sweet,love,2
i will not say much because chanel always speaks for its self and i feel that chanel makes sure they have something for every age group,happy,5
i bet you feel safe keeping your life in a cage while i take my chances but always collapses,happy,5
i feel annoyed at the fact that i m three weeks out of chemotherapy and i m getting annoying pinching niggles in my back,anger,1
i feel for steve irwins family but it was a tragic accident,sadness,0
im feeling a combination of terrified and relieved,fear,4
i have two specialties law and mechanical engineering but to say the truth i like better to utilize my knowledge of psychology and languages rather than engineering and feel sure that these capacities are most needed nowadays,happy,5
i finished checking in bruce had already left and yiling was just leaving so i don t feel i had a chance to properly thank them for being so considerate and making sure we got settled in,happy,5
when my mums brother passed away after having been involved in a car accident he was bringing me a present as i had passed my form five exams with flying colours,sadness,0
i feel like it is worthwhile to support local artists and so does clay so i am fortunate in that sense,happy,5
i don t feel successful if that makes sense,happy,5
i don t want you to feel pressured into making love,fear,4
i am so aware that if i indulge my wounded self in the first thoughts i will feel impatient and burdened and if i make sure that my loving adult is in charge thinking the second loving thoughts i will feel happy blessed and peaceful,anger,1
i feel free to create the definition of what i believe in rather than following a prescribed path,happy,5
i plot that makes the reader feel like he is with owen morgan during his dangerous undertaking,anger,1
i don t usually blog when i m feeling this way but i m actually curious to see if i can put it into words,surprise,3
i have learnt nothing else in the last two years it is that it s best to feel my way by trusting my instincts,happy,5
i know that car enthusiasts are a bit tribal and youre all starting to feel suspicious about a car journalist whos turned to the dark side but dont worry i still prefer four wheels to two,fear,4
i feel tortured by this sense of wrong,fear,4
i fell asleep feeling contented and was ultimately driven back to my room,happy,5
im feeling inspired by all the summery elements of my favorite past time beach bummin,happy,5
i feel afraid to write because there are so many thoughts that need to come out,fear,4
i feel like im not as stubborn,anger,1
i hate feeling bitter,anger,1
i feel so fucking lame saying that however immature it may be something that i just imagine have imagined all this time,sadness,0
i know how you feel and im sorry,sadness,0
i feel suspicious but i cant walk a way i like him i always had a thing for football players i know ive been m,fear,4
i went to work like normal and didnt feel bad in any way shape or form,sadness,0
i would really recommend taking this approach because the last thing you want is to feel disappointed when your little nugget arrives,sadness,0
i love the feeling of carrying him in my arms and looking at his sweet sleeping face,happy,5
i feel i am suffering from a bad case of i only want to nap,sadness,0
i notice myself worrying about him i push that feeling away and replace the thought with something positive or remind myself to let go its out of my control,happy,5
i feel humiliated by what my body can t do but when my husband makes advances towards me it reminds me that despite all that ra tries to take from my life he still finds me not only sexually attractive but beautiful,sadness,0
i feel really listless right now,sadness,0
i can almost feel your delicate heart breaking,love,2
i feel anxious about a coming event or activity that will require physical energy that i may not have or emotional events that will require emotional energy i look to my parent and adult to take charge,fear,4
i feel like a selfish bitch for feeling this way when countless impoverished people are suffering surely a hundred folds more than i am,anger,1
i think its kind of taken us this long to build up a good inventory of sauces oils spices and other non perishables to feel like we have a chance at making something delicious without having to specifically go out and buy every single item in a recipe,happy,5
i just didn t end feeling satisfied,happy,5
i have never done anything to make her cry or want her to cry but after four months i feel a little strange i have never seen that side of her,fear,4
i feel like my trust is being abused the less i feel like theres a future for us,sadness,0
i woke up on a beautiful sunday morning feeling restless and miserable,fear,4
i feel like people dont really want me in their company but also they dont want to hurt my feelings,sadness,0
i feel i am pretty smart raising three boys on my on and they are turning out to be great but my question myself and anyone who reads my blog whats wrong with be wiser,happy,5
i want to keep feeling strong yet i cant neglect that feeling inside me a feeling of betrayal somehow,happy,5
im the solo follower at the moment but i have a feeling theres going to be some terrific stuff on there in no time,happy,5
i feel dumb packing when i can t even get a straight answer about whether or not i m actually going to be able to move somewhere,sadness,0
i sat there feeling so amazed that i actually found great joy in such simple things,surprise,3
